,Name,Initial Distribution,Unpaid Bonus Factor,praisemaggedon,Final Distribution
231,matiasbd,0.0002085451213869,1.0,0.00028470721735113496,0.00024510292744973276
232,Pronoia🐙#2154,0.0002080428426529,1.0,0.00028470721735113496,0.00024484174250805275
233,jantinine,0.000205790583873,1.0,0.00028470721735113496,0.00024367056794250477
234,wertuals,0.0002037137032189,1.0,0.00028470721735113496,0.00024259059000237277
235,jantanner#2104,0.0002001514164588,1.0,0.00028470721735113496,0.0002407382008871208
236,JohnKellden,0.0001977813548012,1.0,0.00028470721735113496,0.00023950576882516878
237,META_DREAMER,0.0001974021756573,1.0,0.00028470721735113496,0.00023930859567034078
238,flakoubay,0.0001939839746844,1.0,0.00028470721735113496,0.00023753113116443278
239,michaelr10,0.0001908225332675,1.0,0.00028470721735113496,0.00023588718162764478
240,hanna_nevermind,0.0001795523941227,1.0,0.00028470721735113496,0.00023002670927234876
241,ubipromoter,0.0001778458573701,1.0,0.00028470721735113496,0.00022913931016099677
242,Lanski13,0.0001663664169053,1.0,0.00028470721735113496,0.00022317000111930077
243,eskalexia,0.0001640109129531,1.0,0.00028470721735113496,0.00022194513906415676
245,adriamb,0.0001595147945712,1.0,0.00028470721735113496,0.00021960715750556878
246,Christian_RegenNetwork#5044,0.0001537550438737,1.0,0.00028470721735113496,0.00021661208714286875
247,arcorren,0.0001513637843357,1.0,0.00028470721735113496,0.00021536863218310877
248,victorid,0.0001481027245269,1.0,0.00028470721735113496,0.00021367288108253276
249,HazardJ#9101,0.0001457535828344,1.0,0.00028470721735113496,0.00021245132740243275
250,Mayu ☪Dev Protocol🌟#8814,0.0001401539199928,1.0,0.00028470721735113496,0.00020953950272480077
252,proofoftom,0.0001359822136748,1.0,0.00028470721735113496,0.00020737021543944077
253,hypereum,0.0001316826174669,1.0,0.00028470721735113496,0.00020513442541133278
255,jasselnorm,0.0001316661444794,1.0,0.00028470721735113496,0.00020512585945783277
254,wipabramson,0.0001316661444794,1.0,0.00028470721735113496,0.00020512585945783277
256,OKDuncan,0.0001305026370244,1.0,0.00028470721735113496,0.00020452083558123276
257,JoeEchidna,0.0001302792491165,1.0,0.00028470721735113496,0.00020440467386912477
258,shrutiappiah1,0.0001280474860842,1.0,0.00028470721735113496,0.00020324415709232878
260,ZoushHoang#2376,0.0001195818552127,1.0,0.00028470721735113496,0.00019884202903914876
261,cyotee,0.0001175051821992,1.0,0.00028470721735113496,0.00019776215907212877
